field	field_role	type	n_present	missing_pct	values	association_status	action_block_assoc	action_recheck_assoc	action_enter_assoc	association_n
applied_thresholds.maximum_spread_bp	policy_coordinate	numeric	15096	13.78	"{""max"": 100.0, ""mean"": 99.89401165871755, ""min"": 80.0}"	computed_or_insufficient	0.05006	-0.04306	-0.03062	15096
applied_thresholds.maximum_top3_ask_to_bid_ratio	policy_coordinate	numeric	15096	13.78	"{""max"": 5.0, ""mean"": 5.0, ""min"": 5.0}"	computed_or_insufficient				15096
applied_thresholds.minimum_fillability_score	policy_coordinate	numeric	15096	13.78	"{""max"": 15.0, ""mean"": 15.0, ""min"": 15.0}"	computed_or_insufficient				15096
applied_thresholds.minimum_micro_net_aggressive_delta_10t	policy_coordinate	numeric	15096	13.78	"{""max"": 1.0, ""mean"": 1.0, ""min"": 1.0}"	computed_or_insufficient				15096
applied_thresholds.minimum_micro_price_change_10t_pct	policy_coordinate	numeric	15096	13.78	"{""max"": 0.0, ""mean"": 0.0, ""min"": 0.0}"	computed_or_insufficient				15096
label_context.adverse_pct	outcome_reference_context	none	0	100.0	{}	no_observed_value				0
label_context.adverse_price	outcome_reference_context	none	0	100.0	{}	no_observed_value				0
label_context.best_ask	outcome_reference_context	numeric	17509	0.0	"{""max"": 1916000.0, ""mean"": 38917.7020389514, ""min"": 976.0}"	computed_or_insufficient	-0.05892	0.0572	0.00882	17509
label_context.best_bid	outcome_reference_context	numeric	17509	0.0	"{""max"": 1915000.0, ""mean"": 38736.86932434748, ""min"": 952.0}"	computed_or_insufficient	-0.05907	0.05733	0.0089	17509
label_context.broker_order_no	outcome_reference_context	none	0	100.0	{}	no_observed_value				0
label_context.broker_route	outcome_reference_context	categorical	17476	0.19	"{""NXT"": 4051, ""SOR"": 13425}"	computed_or_insufficient	0.07064	0.07273	0.00711	17476
label_context.effective_venue	outcome_reference_context	categorical	17509	0.0	"{""KRX"": 13458, ""KRX_NXT_INTEGRATED"": 3083, ""PREMARKET_KRX_LIKE"": 968}"	computed_or_insufficient	0.0783	0.07949	0.01095	17509
label_context.entry_conservative_execution_cost_pct	outcome_reference_context	none	0	100.0	{}	no_observed_value				0
label_context.evaluation_attempt_id	outcome_reference_context	categorical	15063	13.97	{}	identity_or_clock				15063
label_context.first_watch_epoch	outcome_reference_context	numeric	12154	30.58	"{""max"": 1790148510.695, ""mean"": 1789612996.0221713, ""min"": 1789344203.496}"	identity_or_clock				12154
label_context.first_watch_price	outcome_reference_context	numeric	12154	30.58	"{""max"": 1926000.0, ""mean"": 36676.76164225769, ""min"": 886.0}"	computed_or_insufficient	-0.0533	0.05186	0.00772	12154
label_context.market_data_route	outcome_reference_context	categorical	17025	2.76	"{""krx_nxt_integrated"": 7730, ""krx_only"": 9295}"	computed_or_insufficient	0.06779	0.0657	0.01037	17025
label_context.position_cycle_id	outcome_reference_context	none	0	100.0	{}	no_observed_value				0
label_context.price_delta_since_first_watch_pct	outcome_reference_context	numeric	12154	30.58	"{""max"": 29.1667, ""mean"": 3.6779696231693366, ""min"": -13.9042}"	computed_or_insufficient	0.01993	-0.02098	0.00389	12154
label_context.probe_bundle_id	outcome_reference_context	none	0	100.0	{}	no_observed_value				0
label_context.recommendation_id	outcome_reference_context	none	0	100.0	{}	no_observed_value				0
label_context.record_id	outcome_reference_context	numeric	15096	13.78	"{""max"": 48207.0, ""mean"": 45165.92143614202, ""min"": 43328.0}"	identity_or_clock				15096
label_context.reference_price	outcome_reference_context	numeric	17509	0.0	"{""max"": 1916000.0, ""mean"": 38917.7020389514, ""min"": 976.0}"	computed_or_insufficient	-0.05892	0.0572	0.00882	17509
label_context.reference_price_type	outcome_reference_context	categorical	17509	0.0	"{""executable_ask"": 17509}"	computed_or_insufficient				17509
label_context.scanner_promotion_id	outcome_reference_context	categorical	13780	21.3	{}	identity_or_clock				13780
label_context.session_bucket	outcome_reference_context	categorical	17509	0.0	"{""krx_nxt_aftermarket"": 3083, ""krx_regular"": 13458, ""premarket_krx_like"": 968}"	computed_or_insufficient	0.0783	0.07949	0.01095	17509
label_context.snapshot_id	outcome_reference_context	categorical	17476	0.19	{}	identity_or_clock				17476
label_context.stock_code	outcome_reference_context	categorical	17509	0.0	{}	identity_or_clock				17509
label_context.target_pct	outcome_reference_context	none	0	100.0	{}	no_observed_value				0
label_context.target_price	outcome_reference_context	none	0	100.0	{}	no_observed_value				0
label_context.watch_age_sec	outcome_reference_context	numeric	12154	30.58	"{""max"": 21951.1236, ""mean"": 7420.39514020074, ""min"": 1.0737}"	computed_or_insufficient	-0.07434	0.07789	-0.01293	12154
liquidity_inputs.fillability_score	derived_machine_input	numeric	17509	0.0	"{""max"": 100.0, ""mean"": 47.92078359700725, ""min"": 0.0}"	computed_or_insufficient	-0.1616	0.14596	0.07055	17509
liquidity_inputs.spread_bp	derived_machine_input	numeric	17509	0.0	"{""max"": 1703.7, ""mean"": 56.09743960248987, ""min"": 0.0}"	computed_or_insufficient	0.19961	-0.18396	-0.0716	17509
liquidity_inputs.top3_ask_to_bid_ratio	derived_machine_input	numeric	17509	0.0	"{""max"": 729.6666666666666, ""mean"": 2.979012956895215, ""min"": 0.0002842524161455372}"	computed_or_insufficient	0.03784	-0.03321	-0.02064	17509
payload.ai_input_semantics.canonical_candle_owner	collected_raw_precursor	categorical	17025	2.76	"{""entry_candle_context"": 17025}"	computed_or_insufficient				17025
payload.ai_input_semantics.duplicate_candle_views_omitted	collected_raw_precursor	categorical	17025	2.76	"{""True"": 17025}"	computed_or_insufficient				17025
payload.ai_input_semantics.forming_bar_volume_is_partial	collected_raw_precursor	categorical	17025	2.76	"{""True"": 17025}"	computed_or_insufficient				17025
payload.ai_input_semantics.missing_is_not_zero	collected_raw_precursor	categorical	17025	2.76	"{""True"": 17025}"	computed_or_insufficient				17025
payload.ai_input_semantics.source_timestamp_and_route_are_authoritative	collected_raw_precursor	categorical	17025	2.76	"{""True"": 17025}"	identity_or_clock				17025
payload.ai_market_snapshot_v1.actual_execution_venue	collected_raw_precursor	categorical	17025	2.76	"{""UNKNOWN"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.allowed	collected_raw_precursor	categorical	17025	2.76	"{""True"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.blocker_evaluation_order.length	collected_raw_precursor	numeric	2545	85.46	"{""max"": 0.0, ""mean"": 0.0, ""min"": 0.0}"	computed_or_insufficient				2545
payload.ai_market_snapshot_v1.ai_input_preflight_v1.blockers.length	collected_raw_precursor	numeric	2545	85.46	"{""max"": 0.0, ""mean"": 0.0, ""min"": 0.0}"	computed_or_insufficient				2545
payload.ai_market_snapshot_v1.ai_input_preflight_v1.broker_route_match_state	collected_raw_precursor	categorical	17025	2.76	"{""matched"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.broker_route_matches_venue	collected_raw_precursor	categorical	17025	2.76	"{""True"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.feature_allowed	collected_raw_precursor	categorical	5016	71.35	"{""True"": 5016}"	computed_or_insufficient				5016
payload.ai_market_snapshot_v1.ai_input_preflight_v1.feature_blockers.length	collected_raw_precursor	numeric	2545	85.46	"{""max"": 0.0, ""mean"": 0.0, ""min"": 0.0}"	computed_or_insufficient				2545
payload.ai_market_snapshot_v1.ai_input_preflight_v1.max_source_skew_ms	collected_raw_precursor	numeric	17025	2.76	"{""max"": 2916.658, ""mean"": 384.3415333333344, ""min"": 0.0}"	computed_or_insufficient	-0.02163	0.0235	-0.00737	17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.missing_sources.contains:broker_position	collected_raw_precursor	categorical	4684	73.25	"{""False"": 4680, ""True"": 4}"	computed_or_insufficient	0.01886	0.01694	0.00519	4684
payload.ai_market_snapshot_v1.ai_input_preflight_v1.missing_sources.contains:investor	collected_raw_precursor	categorical	4684	73.25	"{""False"": 3717, ""True"": 967}"	computed_or_insufficient	0.16788	0.14398	0.06599	4684
payload.ai_market_snapshot_v1.ai_input_preflight_v1.missing_sources.contains:program	collected_raw_precursor	categorical	4684	73.25	"{""False"": 3011, ""True"": 1673}"	computed_or_insufficient	0.1112	0.08358	0.07789	4684
payload.ai_market_snapshot_v1.ai_input_preflight_v1.missing_sources.length	collected_raw_precursor	numeric	4684	73.25	"{""max"": 2.0, ""mean"": 0.5644748078565329, ""min"": 0.0}"	computed_or_insufficient	0.24435	-0.19827	-0.12878	4684
payload.ai_market_snapshot_v1.ai_input_preflight_v1.position_authority_reconciled	collected_raw_precursor	categorical	17025	2.76	"{""False"": 159, ""True"": 16866}"	computed_or_insufficient	0.01551	0.01332	0.00959	17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.position_reconciled	collected_raw_precursor	categorical	17025	2.76	"{""False"": 159, ""True"": 16866}"	computed_or_insufficient	0.01551	0.01332	0.00959	17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.position_reconciliation_mode	collected_raw_precursor	categorical	17025	2.76	"{""not_required"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.primary_blocker	collected_raw_precursor	none	0	100.0	{}	no_observed_value				0
payload.ai_market_snapshot_v1.ai_input_preflight_v1.primary_blocker_category	collected_raw_precursor	none	0	100.0	{}	no_observed_value				0
payload.ai_market_snapshot_v1.ai_input_preflight_v1.quality_warnings.length	collected_raw_precursor	numeric	2545	85.46	"{""max"": 0.0, ""mean"": 0.0, ""min"": 0.0}"	computed_or_insufficient				2545
payload.ai_market_snapshot_v1.ai_input_preflight_v1.schema	collected_raw_precursor	categorical	17025	2.76	"{""ai_input_preflight_v1"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.simulation_position_reconciled	collected_raw_precursor	categorical	17025	2.76	"{""False"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.source_allowed	collected_raw_precursor	categorical	17025	2.76	"{""True"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.source_blocker_evaluation_order.length	collected_raw_precursor	numeric	2545	85.46	"{""max"": 0.0, ""mean"": 0.0, ""min"": 0.0}"	computed_or_insufficient				2545
payload.ai_market_snapshot_v1.ai_input_preflight_v1.source_blockers.length	collected_raw_precursor	numeric	2545	85.46	"{""max"": 0.0, ""mean"": 0.0, ""min"": 0.0}"	computed_or_insufficient				2545
payload.ai_market_snapshot_v1.ai_input_preflight_v1.status	collected_raw_precursor	categorical	17025	2.76	"{""fresh_consistent"": 14387, ""partial"": 2638}"	computed_or_insufficient	0.04398	0.04657	0.00992	17025
payload.ai_market_snapshot_v1.ai_input_preflight_v1.venue_consistent	collected_raw_precursor	categorical	17025	2.76	"{""True"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.broker_route	collected_raw_precursor	categorical	17025	2.76	"{""NXT"": 4051, ""SOR"": 12974}"	computed_or_insufficient	0.0595	0.06192	0.00883	17025
